,title,Контент,post_url,publishing_date,category
113,Лауреаты Национальной спортивной премии 2022 будут объявлены 14 декабря,"Обладатели Национальной спортивной премии 2022 будут названы на торжественной церемонии награждения, которая состоится 14 декабря во Дворце гимнастики Ирины Винер.
 
 
 
 
 
Победители Национальной спортивной премии определяются в несколько этапов. Первый этап отбора лауреатов прошёл в формате всероссийских конкурсов по номинациям в сфере физической культуры и спорта. Члены конкурсных комиссий рассмотрели заявки и определили по три финалиста в каждой из 18 номинаций. На втором этапе Экспертным советом определены лауреаты. В состав Экспертного совета входят известные спортсмены, тренеры, политики и деятели культуры России.
 

 


В этом году в число номинантов вошли трёхкратный олимпийский чемпион по лыжным гонкам Александр Большунов, двукратная олимпийская чемпионка по пулевой стрельбе Виталина Бацарашкина, олимпийская чемпионка по фигурному катанию Анна Щербакова, заслуженные тренеры СССР и России Татьяна Тарасова, Андрей Родионенко, Виктор Маматов и многие другие.
 
 
 
 
 
Комиссия рассмотрела более 150 заявок из разных уголков страны, путем голосования Экспертный совет выбрал 18 победителей. Каждый лауреат получит премию в 1 млн рублей.
 
 
 
 
 
В рамках премии будет вручена специальная награда генерального партнёра премии – крупнейшего распространителя всероссийских государственных лотерей «Столото» – по итогам голосования за лучшего спортсмена Всероссийской спартакиады по летним видам спорта среди сильнейших спортсменов 2022. Победитель, набравший наиболее число голосов, будет объявлен на сцене под аплодисменты гостей.
 
 
 
 
 
Национальная спортивная премия учреждена Правительством Российской Федерации в 2010 году в целях стимулирования профессиональной деятельности спортсменов, тренеров и специалистов в области физической культуры и спорта.
 
 
 
 
 
В разные годы лауреатами премии становились прославленные спортсмены, тренеры и общественные деятели России. Чаще всего награду получали представители биатлона и лёгкой атлетики, а в 2017 году победителем в номинации «Спортивная солидарность» стал Министр спорта Российской Федерации Олег Матыцин.
 
 
 
 
 
За объявлением лауреатов премии в режиме онлайн можно следить в официальных аккаунтах Минспорта России.
 
 
 
 
 
Генеральным спонсором Национальной спортивной премии является бренд «Столото» – крупнейший распространитель всероссийских государственных лотерей. Государственные лотереи под брендом «Столото» – значимый источник пополнения бюджета России, средства идут на социально значимые объекты и мероприятия, в том числе мероприятия по развитию физической культуры и спорта, спорта высших достижений и системы подготовки спортивного резерва. Объём отчислений и сборов общим накопительным итогом на конец первого полугодия 2022 года превысил 41,2 млрд рублей. Таким образом, лотереи под брендом «Столото» вносят соразмерный вклад в улучшение качества жизни россиян.
 
 
 
 
 
В рамках своей программы корпоративной социальной ответственности «Столото» системно поддерживает более 20 российских спортивных и благотворительных проектов различного масштаба.
 
 
 
 
 
Партнером Национальной спортивной премии является Банк ВТБ – международная финансовая группа, предоставляющая широкий спектр финансово-банковских услуг. В России ВТБ предоставляет весь спектр банковских услуг через разветвлённую региональную сеть. Дочерние организации Группы предоставляют услуги по лизингу, факторингу и другие финансовые сервисы и продукты. Основным акционером ВТБ является Правительство Российской Федерации.
 
 
 
 
 
 
 
 
 
Пресс-служба Минспорта России",https://www.minsport.gov.ru/press-centre/news/38246/,"Tue, 13 Dec 2022 18:00:00 +0300",Новости
122,"«Мы не одни»: профессор Межевич рассказал, как Россия и Белоруссия борются с западными санкциями","Научный сотрудник Института Европы РАН, президент Российской ассоциации прибалтийских исследований (РАПИ), профессор СПбГУ Николай Межевич рассказал, как России и Белоруссии удается бороться с западными санкциями, пишет Федеральное агентство новостей.",https://potokmedia.ru/news/453385/my-ne-odni-professor-mezhevich-rasskazal-kak-rossiya-i-belorussiya-borjutsya-s-zapadnymi-sankciyami/,"Wed, 21 Dec 2022 08:21:00 +0000",новости
124,"Банк «Открытие»: в 2023 году ипотечных кредитов на новостройки будет выдано больше, чем в 2022-м","15 декабря президент России объявил о планах продлить государственную программу субсидирования ипотеки на новостройки до середины 2024 года, пусть и с повышенной ставкой 8%.",https://potokmedia.ru/news/453396/strong-bank-otkrytie-v-2023-godu-ipotechnyh-kreditov-na-novostrojki-budet-vydano-bolshe-chem-v-2022-m-strong/,"Wed, 21 Dec 2022 07:41:00 +0000",новости
128,Оборот рынка хвойных новогодних деревьев в России достигнет 12 млрд. рублей,"По мнению экспертов Россельхозбанка, объем заготовки живых российских елей вырастет на 15-20% в текущем новогоднем сезоне до 420 тыс. деревьев, а оборот рынка достигнет 12 млрд рублей.",https://potokmedia.ru/news/453365/strong-oborot-rynka-hvojnyh-novogodnih-derevev-v-rossii-dostignet-12-mlrd-rublej-strong/,"Wed, 21 Dec 2022 06:21:00 +0000",новости
130,Борис Листов рассказал о роли РСХБ в наращивании кадрового потенциала агропромышленного комплекса,"Председатель Правления Россельхозбанка Борис Листов выступил на Всероссийском совещании с ректорами образовательных организаций высшего образования, подведомственных Минсельхозу России.",https://potokmedia.ru/news/453369/boris-listov-rasskazal-o-roli-rshb-v-narashhivanii-kadrovogo-potenciala-agropromyshlennogo-kompleksa/,"Wed, 21 Dec 2022 05:41:00 +0000",новости
135,Петр Колтыпин и Юрий Зайцев обсудили реализацию проектов по развитию Республики Марий Эл,"20 декабря вице-президент, председатель Волго-Вятского банка ПАО Сбербанк Петр Колтыпин и глава Республики Марий Эл Юрий Зайцев провели рабочую встречу. Обсуждались вопросы развития экономики и социальной сферы Республики.",https://potokmedia.ru/news/453224/strong-petr-koltypin-i-jurij-zajcev-obsudili-realizaciju-proektov-po-razvitiju-respubliki-marij-el-strong/,"Tue, 20 Dec 2022 14:01:00 +0000",новости
138,ВТБ Private Banking стал лауреатом премии Wealth Navigator Awards 2022,Команда ВТБ Private Banking стала обладателем ежегодной премии представителей частного банковского обслуживания и управления большими капиталами Wealth Navigator Awards 2022.,https://potokmedia.ru/news/453190/strong-vtb-private-banking-stal-laureatom-premii-wealth-navigator-awards-2022-strong/,"Tue, 20 Dec 2022 12:41:00 +0000",новости
139,Петр Колтыпин принял участие в запуске снегоплавильной установки в Йошкар-Оле,На территории аппарата банка отделения Сбербанка в Марий Эл заработала первая в Йошкар-Оле мобильная снегоплавильная установка «VULKAN-20М».,https://potokmedia.ru/news/453183/strong-petr-koltypin-prinyal-uchastie-v-zapuske-snegoplavilnoj-ustanovki-v-joshkar-ole-strong/,"Tue, 20 Dec 2022 12:21:00 +0000",новости
142,Банк «Открытие»: котировки вернулись к росту,"Даниил Каримов, аналитик сектора металлургии аналитического управления «Открытие Research» банка «Открытие».",https://potokmedia.ru/news/453151/strong-bank-otkrytie-kotirovki-stali-vernulis-k-rostu-strong/,"Tue, 20 Dec 2022 11:21:00 +0000",новости
145,Сбербанк и Марийский государственный университет подписали соглашение о стратегическом партнерстве,"Вице-президент, председатель Волго-Вятского банка ПАО Сбербанк Петр Колтыпин и ректор Марийского государственного университета Михаил Швецов подписали соглашение о стратегическом партнерстве.",https://potokmedia.ru/news/453065/strong-sberbank-i-marijskij-gosudarstvennyj-universitet-podpisali-soglashenie-o-strategicheskom-partnerstve-strong/,"Tue, 20 Dec 2022 10:21:00 +0000",новости
