,title,Контент,post_url,publishing_date,category
147,Отраслевыми решениями Сбербанка для бизнеса воспользовалось более 70 тысяч предпринимателей,Отраслевыми решениями Сбербанка для бизнеса воспользовалось более 70 тысяч предпринимателей.,https://potokmedia.ru/news/453050/strong-otraslevymi-resheniyami-sberbanka-dlya-biznesa-vospolzovalos-bolee-70-tysyach-predprinimatelej-strong/,"Tue, 20 Dec 2022 09:41:00 +0000",новости
224,Дмитрий Вольвач: за 9 месяцев 2022 года рост взаимной торговли России со странами ЕАЭС превысил 57 млрд долларов,,https://economy.gov.ru/material/news/dmitriy_volvach_za_9_mesyacev_2022_goda_rost_vzaimnoy_torgovli_rossii_so_stranami_eaes_prevysil_57_mlrd_dollarov.html,"Tue, 29 Nov 2022 09:31:20 +0300",не указана
245,"Россия и Азербайджан реализуют совместные проекты на 7,5 млрд долларов",,https://economy.gov.ru/material/news/rossiya_i_azerbaydzhan_realizuyut_sovmestnye_proekty_na_75_mlrd_dollarov.html,"Tue, 22 Nov 2022 11:24:00 +0300",не указана
257,Всемирный банк признал Россию лидером в области цифровизации госуправления,,https://economy.gov.ru/material/news/vsemirnyy_bank_priznal_rossiyu_liderom_v_oblasti_cifrovizacii_gosupravleniya.html,"Wed, 16 Nov 2022 17:30:00 +0300",не указана
258,Минэкономразвития предложило повысить доступность процедуры внесудебного банкротства для незащищенных категорий граждан,,https://economy.gov.ru/material/news/minekonomrazvitiya_predlozhilo_povysit_dostupnost_procedury_vnesudebnogo_bankrotstva_dlya_nezashchishchennyh_kategoriy_grazhdan.html,"Wed, 16 Nov 2022 16:58:06 +0300",не указана
288,"Россия и Китай планируют проинвестировать в совместные проекты еще 1,3 млрд долларов",,https://economy.gov.ru/material/news/rossiya_i_kitay_planiruyut_proinvestirovat_v_sovmestnye_proekty_eshche_13_mlrd_dollarov.html,"Tue, 08 Nov 2022 15:13:46 +0300",не указана
321,"МСП Банк предоставил предпринимателям Северного Кавказа по госпрограмме более 2,5 млрд рублей",,https://economy.gov.ru/material/news/msp_bank_predostavil_predprinimatelyam_severnogo_kavkaza_po_gosprogramme_bolee_25_mlrd_rubley.html,"Fri, 28 Oct 2022 14:00:00 +0300",не указана
349,Полина Крючкова: госпрограмма «Экономическое развитие и инновационная экономика» нацелена на стимулирование частных инвестиций,,https://economy.gov.ru/material/news/polina_kryuchkova_gosprogramma_ekonomicheskoe_razvitie_i_innovacionnaya_ekonomika_nacelena_na_stimulirovanie_chastnyh_investiciy.html,"Fri, 21 Oct 2022 17:31:28 +0300",не указана
367,Внешнеторговый оборот России со странами СНГ за восемь месяцев 2022 года составил 63 млрд долларов,,https://economy.gov.ru/material/news/vneshnetorgovyy_oborot_rossii_so_stranami_sng_za_vosem_mesyacev_2022_goda_sostavil_63_mlrd_dollarov.html,"Fri, 14 Oct 2022 17:19:00 +0300",не указана
371,Закон о банкротстве дополнят критериями вероятности внештатных ситуаций на опасных предприятиях-банкротах,,https://economy.gov.ru/material/news/zakon_o_bankrotstve_dopolnyat_kriteriyami_veroyatnosti_vneshtatnyh_situaciy_na_opasnyh_predpriyatiyah_bankrotah.html,"Thu, 13 Oct 2022 14:41:00 +0300",не указана
373,Перечень банков-участников программы компенсации за использование СБП расширился,,https://economy.gov.ru/material/news/perechen_bankov_uchastnikov_programmy_kompensacii_za_ispolzovanie_sbp_rasshirilsya.html,"Wed, 12 Oct 2022 20:18:00 +0300",не указана
