title,Контент,post_url,publishing_date,category
В Йошкар-Оле на три недели запретят стоянку на площади Ленина,"Так, будет запрещена остановка и стоянка всех автомобилей на следующих участках:  по улице Волкова от улицы Гоголя до Ленинского проспекта, а также на площади Ленина с 22:00 20 декабря 2022 года до 20:00 8 января 2023 года; по улице Успенской от улицы Пер",https://pg12.ru/news/70888,"Tue, 20 Dec 22 21:45:00 +0300",Новости
17-градусный мороз ожидается в среду в Марий Эл,"По данным Гидрометцентра, в среду в Марий Эл будет облачно с прояснениями, местами небольшой снег, днем преимущественно без осадков. Местами гололедно-изморозевые отложения. На дорогах местами гололедица.  Ветер южный 4-9 м/с.",https://pg12.ru/news/70886,"Tue, 20 Dec 22 20:57:00 +0300",Новости
В школах и больницах Марий Эл ввели ограничения из-за эпидемии гриппа,На территории Марий Эл ввели ограничительные мероприятия по гриппу и ОРВИ.  Такое решение было принято на заседании санитарной противоэпидемической комиссии.  Об этом сообщает пресс-служба Управления Роспотребнадзора по Республике Марий Эл.,https://pg12.ru/news/70885,"Tue, 20 Dec 22 17:34:00 +0300",Новости
Три человека погибли при взрыве газопровода в соседней Чувашии,"
Три человека погибли при взрыве газопровода в соседней Чувашии 20 декабря на территории Чувашии взорвался газопровод. Во время взрыва погибли три человека. Об этом сообщает телеграм-канал “Про Город Чебоксары | Новости Чувашии”. Взрыв произошел на магистральном газопроводе Уренгой - Помары - Ужгород в Вурнарском районе. Что стало причиной возгорания - неизвестно. В результате происшествия погибли три человека, один получил многочисленные ожоги. Все пострадавшие были газовиками.  Известно, что на газопроводе проводились ремонтные работы. Причины взрыва устанавливаются.  ",https://pg12.ru/news/70882,"Tue, 20 Dec 22 17:24:00 +0300",Новости
Следователи проверяют сообщение о нападении стаи собак на ребенка в Йошкар-Оле,"19 декабря 2022 года в интернете йошкаролинка рассказала, что на ее дочь напали собаки. Сейчас следователи выясняют все обстоятельства случившегося. В также правоохранители уточняют, какие меры были приняты должностными лицами,",https://pg12.ru/news/70884,"Tue, 20 Dec 22 17:14:00 +0300",Новости
Какие новые госпошлины на автомобили появятся в 2023 году,"
Какие новые госпошлины на автомобили появятся в 2023 году С 1 января 2023 года введут 3 новых государственных пошлин на автомобили и иные виды транспорта. Также одну действующую увеличат почти в 2 раза. Об этом сообщает пресс-служба ГИБДД МВД по Республике Марий Эл.  Новые виды государственные пошлины устанавливаются при: выдаче разрешения на внесение изменений в конструкцию находящегося в эксплуатации колесного транспортного средства - 1000 рублей; выдаче свидетельства о допуске транспортных средств к перевозке транспортных средств к перевозке опасных грузов: за выдачу - 1500 рублей; за продление срока действия ранее выданного свидетельства - 1000 рублей: выдаче свидетельства о соответствии транспортного средства с внесенными в его конструкцию изменениями требованиям безопасности - 1500 рублей. Оплачивать государственные пошлины можно как в офисах банков, так и через терминальные устройства. Их можно найти в многофункциональных центрах.",https://pg12.ru/news/70880,"Tue, 20 Dec 22 16:35:00 +0300",Новости
В села Марий Эл власти обещают отправлять выездные офисы для получения услуг,"
В села Марий Эл власти обещают отправлять выездные офисы для получения услугКакие еще нововведения хотят сделать в республике 16 декабря прошло совещание по вопросам повышения финансовой доступности для жителей республики. В собрании принял участие уполномоченный по правам человека в Марий Эл Фанис Мухаметгалиев. Об этом сообщают в его пресс-службе.  Совещание было посвящено росту финансовой доступности для жителей отдаленных сел и деревень республики. На встрече присутствовали Зампред Правительства Дмитрий Троицкий, бизнес-омбудсмен Сергей Степанов, гендир Торгово-промышленной палаты Герман Дементьев и другие чиновники.  ""Перед нами стоит важная задача – повысить доступность финансовых услуг в сельской местности, где проживает треть нашего населения. Это имеет первостепенное значение с точки зрения повышения благополучия и качества жизни жителей региона"", - обратился к участникам совещания Дмитрий Троицкий.  На данный момент идет формирование ""дорожных"" карт, которые будут способствовать повышению финдоступности в Марий Эл. Также один из вариантов решить эту проблему является проведение Интернета в деревни и села. В таком случае люди смогут получать информацию о современных цифровых услугах гораздо быстрее. Эксперты также предложили сформировывать выездные офисы для сельских жителей и услугу ""наличные на кассе"".  ",https://pg12.ru/news/70881,"Tue, 20 Dec 22 15:59:00 +0300",Новости
"Под Новый год 360 переселенцев из ""авариек"" отпразднуют переезд в новый дом","
Под Новый год 360 переселенцев из ""авариек"" отпразднуют переезд в новый дом Более 360 жителей города встретят Новый год в новых квартирах. А свои старые, аварийные, дома оставят в уходящем году. Об этом сообщает пресс-служба администрации города. Новый многоквартирный дом расположен на улице Петрова. Квартиры полностью готовы к въезду жильцов. Обладателям квартир необходимо только расставить мебель по своему усмотрению.  Ранее мы писали о том, что 215 аварийных домов республики еще не расселили. ",https://pg12.ru/news/70878,"Tue, 20 Dec 22 15:40:00 +0300",Новости
"Йошкаролинец поучаствовал в роли наблюдателя в ""Битве экстрасенсов"" и был приятно удивлен","
Йошкаролинец поучаствовал в роли наблюдателя в ""Битве экстрасенсов"" и был приятно удивленМужчина поверил в чудо Йошкаролинец принял участие в популярном шоу “Битва экстрасенсов” на канале ТНТ и остался под большим впечатлением. Маг рассказала ему важные моменты из его жизни, а также поведала то, чего никто не знал. Об этом редакции “Про Город” сообщил Сергей Николаев. Мужчина принимал участие в финальном испытании экстрасенсов. Он был наблюдателем, который ходил вместе с другими и смотрел за тем, как работает маг. Испытание было непростым: перед провидцами стояла задача найти человека, который спрятался в огромном заброшенном здании. Последняя участница смогла быстрее всех найти человека и при этом потрясла многих присутствующих тем, что рассказала об их жизни и судьбе. В числе тех, кто был поражен ее способностями, был наш земляк Сергей Николаев.   “Она сказала сразу то, что никто не знает. Я даже вопросы ей не задавал. Она сама мне все рассказала”, - поделился впечатлениями с другими Сергей.   Комментировать в Telegram-канале:",https://pg12.ru/news/70879,"Tue, 20 Dec 22 15:31:00 +0300",Новости
Пять конфискованных квартир Йошкар-Олы по цене ниже рыночных,"​​​​​​​Многие жители республики не раз задумывались над тем, как по выгодной цене приобрести недвижимость. Такая возможность существует.",https://pg12.ru/news/70877,"Tue, 20 Dec 22 14:45:00 +0300",Новости
