,Заголовок,Контент,Ссылка,Дата публикации,Категория
351,Житель марийской глубинки бросил работу и стал кузнецом: создал уже более сотни изделий,"
Житель марийской глубинки бросил работу и стал кузнецом: создал уже более сотни изделий Житель Марий Эл, благодаря социальному контракту, смог осуществить свою мечту. Об этом сообщает ГТРК “Марий Эл”. Андрей Александров из Килемарского района с детства был творческим человеком. Ему нравилось рисовать, мастерить, придумывать что-то необычное. Но, став взрослым, он отучился на программиста. Душа Андрея не лежала к выбранной профессии. Она просила вернуться к творчеству, а руки требовали тяжелой мужской работы. Тогда Андрей решил вернуться к кузнечному ремеслу, которым она занимался в детстве. После того, как Андрей встал крепко на ноги в кузнечном ремесле, он оставил основную работу. Теперь у него есть своя мастерская, где он выполняет различные заказы. Мечта Андрея осуществилась, благодаря социальному контракту. На ее реализацию он получил 250 тысяч рублей. На эти деньги Андрей приобрел механический молот, камеру порошковой покраски и различные материалы. На счету у Андрея уже более сотни изделий, которые пользуются большим спросом. ",https://pg12.ru/news/72347,2023-02-28 14:25,Новости
364,"ФСБ поймала поставщика лекарств с сообщницей, который украл из бюджета 6 млн","
ФСБ поймала поставщика лекарств с сообщницей, который украл из бюджета 6 млн В Марий Эл разоблачили коррупционную схему, которая длилась на протяжении трех лет. Об этом сообщает ГТРК “Марий Эл”. Мошенничеством занимались генеральный директор и главный бухгалтер акционерного общества “Марий Эл - Фармация”. Они похитили из бюджета общества 6,6 млн рублей. Обвиняемые с 2019 года по 2021 год переводили деньги на счета третьих лиц. Затем эти деньги они тратили на себя. По данному инциденту возбуждены уголовные дела о мошенничестве в особо крупном размере, присвоении и растрате. Бывший генеральный директор предприятия 4 года не сможет занимать должности на государственной служба и в органах местного самоуправления. Главного бухгалтера приговорили к 5 годам лишения свободы условно с испытательным сроком на 5 лет. Также обвиняемые должны вернуть все украденные деньги.",https://pg12.ru/news/72333,2023-02-28 09:40,Новости
367,Йошкаролинцы делали покупки в интернете и остались без 120 тысяч,"
Йошкаролинцы делали покупки в интернете и остались без 120 тысяч Трое жителей республики при совершении сделок в Интернете потеряли более 120 тысяч рублей. Об этом сообщает пресс-служба МВД по Республике Марий Эл. Первой жертвой мошенников стал 68-летний йошкаролинец. Он выложил на просторы Интернета объявление о продаже норковой шубы, на которое вскоре откликнулись. Потенциальный покупатель для предоплаты попросил у мужчины номер банковской карты. Йошкаролинца сначало смутило это, но он все равно выполнил требования: продиктовал коды из входящих сообщений. После этого с его счета списалось почти 65 тысяч рублей. Йошкаролинец быстро заблокировал свою карту, чтобы сберечь оставшиеся деньги. 50-летняя йошкаролинка опубликовала объявление о продаже инвалидной коляске. Она перешла по ссылке, ввела банковские данные карты и код из sms для получения предоплаты. После всех этих действий с ее карты списали 19,5 тысяч рублей. По этим двум инцидентам возбуждены уголовные дела по факту кражи с банковского счета. 67-летний житель поселка Килемары тоже стал жертвой мошенников. Он решил приобрести дом и нашел объявление о продаже. Он связался с владельцем, и они обговорили условия сделки. Спустя время, мужчина через банкомат перечислил более 40 тысяч рублей в качестве сделки. После этого мужчине никто не отвечал. По данному инциденту возбудили уголовное дело по факту мошенничества.",https://pg12.ru/news/72326,2023-02-28 08:00,Новости
407,Школьников Марий Эл приглашают на олимпиаду по финансовой грамотности и предпринимательству,"Как разумно распоряжаться карманными деньгами, планировать покупки и уберечься от мошенников – онлайн-олимпиада на образовательной платформе Учи.ру поможет школьникам с 1 по 9 класс узнать ответы на самые важные финансовые вопросы, – рассказали в Отделении Банка России по Марий Эл.",https://potokmedia.ru/news/469522/strong-shkolnikov-marij-el-priglashajut-na-olimpiadu-po-finansovoj-gramotnosti-i-predprinimatelstvu-strong/,2023-02-28 12:22,новости
412,В Марий Эл пройдет региональный семинар «Агробизнес малых форм хозяйствования»,"Региональный семинар «Агробизнес малых форм хозяйствования» пройдёт 02 марта на базе Марийского государственного университета, где будет представлена экспозиция районов республики.",https://potokmedia.ru/news/469492/v-marij-el-projdet-regionalnyj-seminar-agrobiznes-malyh-form-hozyajstvovaniya/,2023-02-28 11:00,новости
559,В Йошкар-Оле из аварийных домов в микрорайоне «Чеховский» переедут 72 человека,"В Йошкар-Ола ускорить расселение ветхого и аварийного жилья помогает программа по развитию застроенных территорий. Для этих целей привлекаются частные инвестиции. В частности, своей очереди ждут жители микрорайона «Чеховский». Это часть квартала, о...",http://mariel-news.net/other/2023/02/28/73409.html,2023-02-28 13:17,не указана
631,В Йошкар-Оле прошел Межрегиональный фестиваль-конкурс исполнителей игры на гитаре «Серебряная струна-2023»,"Во Дворце культуры им. XXX-летия Победы состоялся Межрегиональный фестиваль-конкурс исполнителей игры на гитаре «Серебряная струна-2023». В конкурсе приняли участие 38 гитаристов в возрасте от 6 до 19 лет. Участниками стали ученики музыкальных школ и школ искусств Республики Марий Эл и Республики Чувашия. Профессиональное жюри отметило высокий уровень исполнительского мастерства. Победители и призеры были удостоены званий [&#8230;]
The post В Йошкар-Оле прошел Межрегиональный фестиваль-конкурс исполнителей игры на гитаре «Серебряная струна-2023» first appeared on ГАЗЕТА НАШЕГО ГОРОДА.",https://www.gg12.ru/v-joshkar-ole-proshel-mezhregionalnyj-festival-konkurs-ispolnitelej-igry-na-gitare-serebryanaya-struna-2023/,2023-02-28 11:36,Новости
