Заголовок,Контент,Ссылка,Дата публикации,Категория
Министр нефтяной промышленности Венесуэлы ушел в отставку на фоне коррупционного расследования,"Министр нефтяной промышленности Венесуэлы Тарек Эль-Айссами объявил о своей отставке. Как сообщает AP, это происходит на фоне начавшегося расследования в отношении фактов коррупции в руководстве государственной нефтяной компании Petroleos de Venezuela SA (PDVSA), нефтяной промышленности в целом, а также в правительстве.",https://www.kommersant.ru/doc/5887796,2023-03-21 12:17,Мир
В Саратове начались прения по уголовному делу в отношении бывшего районного прокурора,В Кировском районном суде Саратова начались прения по уголовному делу в отношении бывшего прокурора Кировского района города Андрея Пригарова. Господин Пригаров обвиняется в мошенничестве и получении взятки в особо крупном размере.,https://www.kommersant.ru/doc/5887775,2023-03-21 12:10,Происшествия
В центре Москвы ожидаются серьезные пробки,"В центре Москвы затруднено движение, сообщается в Telegram-канале Дептранса. Сложности возникли на Кутузовском проспекте, Тверской улице и Москворецкой набережной.",https://www.kommersant.ru/doc/5887812,2023-03-21 12:10,Авто
«Газпром» сообщил о рекорде суточных поставок газа в Китай,"Вчера, 20 марта, заявка Китая на поставку российского газа по газопроводу «Сила Сибири» «существенно превысила суточные контрактные обязательства», сообщил «Газпром». По его данным, был установлен новый исторический рекорд суточных поставок газа в Китай.",https://www.kommersant.ru/doc/5887817,2023-03-21 12:09,Бизнес
«Ростелеком» сформировал кластер для потребительских сервисов,"«Ростелеком» сформировал кластер потребительских сервисов (B2C), в который вошли офисы цифровых продуктов (видеонаблюдение и «Умный дом», «Ключ» и др.), вся группа компаний Tele2, единый маркетинг, видеосервис Wink, выделенный в отдельное юридическое лицо, компания МЦ МТТ (обслуживание абонентов «Ростелекома» и телемаркетинга), а также региональные B2C-активы, следует из письма президента «Ростелекома» Михаила Осеевского. В нем отмечается, что объединенный кластер В2С — это почти 60% выручки группы.",https://www.kommersant.ru/doc/5887818,2023-03-21 12:07,Телекоммуникации
Хакеры из группировки Free Civilian заявили о взломе системы автоматизации украинских предприятий ЖКХ,"Хакерская группировка Free Civilian заявила, что смогла успешно взломать систему автоматизации коммунальных предприятий Украины. Ранее в прессе появлялась информация о возможной связи Free Civilian с российскими властями.",https://www.kommersant.ru/doc/5887800,2023-03-21 12:05,Мир
Лидера якутского отделения партии «Яблоко» оштрафовали за дискредитацию армии,"Якутский городской суд вынес приговор лидеру местного отделения партии «Яблоко» Анатолию Ноговицыну. Суд признал его виновным в дискредитации армии (ч. 1 ст. 280.3 УК) и назначил штраф в размере 200 тыс. руб. в счет запрета определенных действий, наложенных на фигуранта дела в сентябре 2022 года.",https://www.kommersant.ru/doc/5887771,2023-03-21 12:02,Общество
В Петербурге до смерти забили женщину после жалобы в благотворительный фонд,"В Санкт-Петербурге до смерти избили женщину после жалобы в благотворительный фонд на сожителя. Ее тело нашли на Дрезденской улице в Выборгском районе города 20 марта, пишет РЕН ТВ.",https://www.kommersant.ru/doc/5887770,2023-03-21 11:59,Происшествия
"Китай надеется, что поездка Кисиды на Украину не приведет к эскалации конфликта","Власти КНР надеются, что поездка премьер-министра Японии Фумио Кисиды в Киев не приведет к эскалации конфликта. Об этом сообщил на брифинге официальный представитель МИД КНР Ван Вэньбинь.",https://www.kommersant.ru/doc/5887808,2023-03-21 11:57,Мир
В здании «Мемориала» в Москве проходит обыск,"Следователи пришли с обыском в здание общества «Мемориал» (признано иностранным агентом и ликвидировано) на Малом Каретном в Москве. Сегодня, 21 марта, с утра у сотрудников общества, проживающих в столице, идут обыски по делу о реабилитации нацизма (ст.",https://www.kommersant.ru/doc/5887799,2023-03-21 11:51,Общество
ФАС разрешила «Объединенной чайной компании» приобрести российские активы Lipton,Федеральная антимонопольная служба (ФАС) удовлетворила ходатайство ООО «Объединенная чайная компания» о покупке основных производственных средств и нематериальных активов ООО «Экатерра». Об этом сообщила пресс-служба ведомства в Telegram-канале.,https://www.kommersant.ru/doc/5887798,2023-03-21 11:49,Бизнес
Рынок труда Москвы переживает нехватку высоквалифицированных кадров,"Одним из ярких трендов столичного рынка труда на сегодняшний день является востребованность высококвалифицированных рабочих и инженерно-технических кадров, заявил первый заместитель директора Центра занятости населения «Моя работа» Игорь Шашкин на конференции, организованной ИД «Коммерсантъ». По его словам, более 200 промышленных предприятий Москвы ведут подбор около 3 тыс. сотрудников при поддержке службы занятости.",https://www.kommersant.ru/doc/5887806,2023-03-21 11:48,Экономика
"В Приморье в суд передано дело банды, трижды пытавшейся убить одного человека","Зампрокурора Приморского края Дмитрий Попов утвердил обвинительное заключение в отношении четырех жителей села Вольно-Надеждинское. Три из них, по версии следствия, были членами банды, а один — пособником.",https://www.kommersant.ru/doc/5887739,2023-03-21 11:42,Происшествия
Экс-посол США Макфол предложил снимать санкции с миллиардеров за осуждение России и передачу половины состояния Украине,"Все российские миллиардеры должны подпасть под санкции, но у них также должен был вариант снятия ограничений, считает бывший посол США в России Майкл Макфол. По его мнению, чтобы выйти из-под санкций, бизнесмены должны осудить военные действия на Украине и президента Владимира Путина, пожертвовать половину состояния в Фонд восстановления Украины и отказаться от инвестиций в Россию.",https://www.kommersant.ru/doc/5887786,2023-03-21 11:40,Мир
Reuters: Россия стала лидером по экспорту нефти в Китай,"Самым крупным поставщиком нефти в Китай в период с января по февраль стала Россия, сместив Саудовскую Аравию на второе место по объемам поставок. Импорт российской нефти в Китай вырос на 23,8% по итогам двух месяцев.",https://www.kommersant.ru/doc/5887787,2023-03-21 11:33,Бизнес
Си Цзиньпин пригласил Владимира Путина посетить в этом году Китай,"Председатель КНР Си Цзиньпин сообщил на встрече с премьер-министром Михаилом Мишустиным, что пригласил Владимира Путина посетить Китай в этом году. Также он пригласил посетить его страну «как можно скорее» и господина Мишустина.",https://www.kommersant.ru/doc/5887780,2023-03-21 11:18,Мир
Российский рынок онлайн-игр в 2022 году упал на 80% к 2021 году,"Официальный рынок онлайн-игр в России по итогам 2022 года, по предварительной оценке АНО «Цифровая экономика», потерял 80% своего объема, следует из презентации, представленной сегодня, 21 марта. По итогам 2021 года объем российского рынка онлайн-игр составлял 99 млрд руб.",https://www.kommersant.ru/doc/5887763,2023-03-21 11:12,Телекоммуникации
"Правительство расширило список сделок с российскими активами, требующих разрешения правкомиссии","Передачу ценных бумаг российских эмитентов включили в перечень сделок с российскими активами, требующих разрешения правкомиссии по контролю за осуществлением иностранных инвестиций. Об этом говорится в постановлении правительства.",https://www.kommersant.ru/doc/5887777,2023-03-21 11:11,Экономика
Acer анонсировала электровелосипед ebii с искусственным интеллектом,"Компания Acer анонсировала ebii — фирменный электровелосипед с искусственным интеллектом, адаптирующим мощность мотора и расход энергии под условия эксплуатации. Стоимость Acer ebii и сроки начала продаж электровелосипеда не названы.",https://www.kommersant.ru/doc/5887760,2023-03-21 11:05,Hi-Tech
«Движение первых» зарегистрировало свой телеканал,"Российское движение детей и молодежи «Движение первых» зарегистрировало телеканал «Движ». В Роскомнадзоре сообщили ТАСС, что канал был зарегистрирован в марте.",https://www.kommersant.ru/doc/5887749,2023-03-21 11:04,Телекоммуникации
Си Цзиньпин приехал на переговоры с Михаилом Мишустиным,Председатель КНР Си Цзиньпин приехал в Дом правительства. Там он проведет переговоры премьер-министром России Михаилом Мишустиным.,https://www.kommersant.ru/doc/5887773,2023-03-21 11:03,Мир
OpenAI приостанавливала работу ChatGPT из-за утечки диалогов пользователей,"OpenAI в понедельник, 20 марта, приостановила работу своей нейросети ChatGPT после того, как пользователи стали жаловаться на то, что им демонстрируются беседы других пользователей. Как сообщил агентству Bloomberg представитель компании, причиной бага стало стороннее программное обеспечение с открытым исходным кодом.",https://www.kommersant.ru/doc/5887745,2023-03-21 10:55,Hi-Tech
Си Цзиньпин назвал укрепление отношений с Россией стратегическим выбором Китая,"МИД Китая опубликовал итоги неформальной встречи председателя КНР Си Цзиньпина и президента России Владимира Путина, которая прошла вчера, 20 марта, в Москве. В сообщении министерства отмечается, что господин Си назвал укрепление и развитие отношений между двумя странами стратегическим выбором Китая.",https://www.kommersant.ru/doc/5887750,2023-03-21 10:52,Мир
ЦБ обязал брокеров предупреждать клиентов о рисках блокировки бумаг дружественных стран,"Банк России сообщил, что с 1 апреля меняются правила покупки неквалифицированными инвесторами ценных бумаг компаний из дружественных стран. Если они учитываются в недружественном депозитарии, то брокер сможет исполнить поручение клиента только в случае, если уведомит его о возможной блокировке таких бумаг.",https://www.kommersant.ru/doc/5887754,2023-03-21 10:45,Бизнес
Netflix добавит 40 игр в свой сервис в 2023 году,"Стриминговый сервис Netflix собирается развивать свое игровое направление и планирует добавить около 40 игр на платформу в 2023 году. Еще 16 игр находятся в разработке для сервиса от собственных студий Netflix, около 70 — от сторонних разработчиков.",https://www.kommersant.ru/doc/5887691,2023-03-21 10:37,Hi-Tech
"Верховный суд объяснил, когда военный не подлежит наказанию за выполнение преступного приказа","Верховный суд России дал разъяснения в отношении наказания военнослужащих, которые выполнили преступный приказ (ст. 42 УК).",https://www.kommersant.ru/doc/5887729,2023-03-21 10:31,Общество
Yle: финская Gasum продолжает покупать российский газ,"Контракт финской госкомпании Gasum с «Газпром экспортом» рассчитан «еще на несколько лет», в связи с чем Gasum продолжает закупки российского газа, сообщила компания. По данным портала Yle, с 2019 года компания закупила у РФ газа на сумму более €730 млн.",https://www.kommersant.ru/doc/5887733,2023-03-21 10:28,Бизнес
Директором Пушкинского музея вместо Марины Лошак назначена Елизавета Лихачева,"Минкульт подтвердил, что директором Пушкинского музея стала Елизавета Лихачева. Марина Лошак, 10 лет возглавлявшая ГМИИ имени Пушкина, покидает свой пост, о чем накануне сообщили источники «Ъ».",https://www.kommersant.ru/doc/5887728,2023-03-21 10:18,Культура
