Заголовок,Контент,Ссылка,Дата публикации,Категория
"Посол РФ считает, что новый пакет помощи США ведет к «расширению географии украинского кризиса»","Действия США по Украине ставят под угрозу безопасность Европы, считает посол РФ в Вашингтоне Анатолий Антонов. Так он отреагировал на новый пакет помощи США Украине на $350 млн.",https://www.kommersant.ru/doc/5887601,2023-03-21 00:47,Мир
США рассекретят имеющуюся у них информацию о происхождении COVID-19,"Президент США Джо Байден подписал закон, который требует от разведки рассекретить имеющеюся у нее информацию о происхождении COVID-19. Об этом говорится в сообщении Белого дома.",https://www.kommersant.ru/doc/5887576,2023-03-21 00:10,Мир
Главные анонсы 21 марта,"В Москве в 15:00 запланированы переговоры президента России Владимира Путина и председателя КНР Си Цзиньпина в узком и расширенном составе, заявления для прессы. Ожидается подписание более 10 документов.",https://www.kommersant.ru/doc/5887573,2023-03-21 00:04,Общество
"Крымский Джанкой атакован беспилотниками, один человек ранен","Средства противовоздушной обороны сработали в районе города Джанкой на севере Крыма. Глава региона Сергей Аксенов сообщил, что обломки упали на дом и магазин, пострадал один человек.",https://www.kommersant.ru/doc/5887569,2023-03-20 23:40,Происшествия
Молдавия возобновила потребление российского газа после трехмесячного перерыва,"Молдавия в марте возобновило потребление российского газа, сообщил руководитель газораспределительной компании «Молдовагаз» Вадим Чебан. Он объяснил это снижением потребления в Приднестровье из-за потепления.",https://www.kommersant.ru/doc/5887568,2023-03-20 23:38,Бизнес
Reuters: власти Турции распространили запрещенный к экспорту в Россию список товаров,"Глава Стамбульской ассоциации экспортеров черных и цветных металлов Четин Текделиоглу сообщил, что турецкое правительство передало компаниям список запрещенных иностранных товаров и проинструктировало не отправлять их в Россию, начиная с 1 марта. «Любые товары из этого списка блокируются от отправки в России независимо от того, из какой страны они поступают»,— заявил господин Текделиоглу (цитата по Reuters).",https://www.kommersant.ru/doc/5887529,2023-03-20 23:22,Мир
ТАСС: задержанный по доносу в московском метро мужчина демонстрировал шеврон «Азова»,"Черемушкинский суд Москвы арестовал на 14 суток приезжего со Ставрополья Юрия Самойлова за «демонстрацию пассажирам столичного метро» телефона, на заставке которого был изображен шеврон украинского националистического полк «Азова» (признан в РФ террористической организацией и запрещен). Об этом сообщает ТАСС со ссылкой на решение суда.",https://www.kommersant.ru/doc/5887513,2023-03-20 23:10,Общество
Правительство отменило продление срока пребывания украинцев из ДНР и ЛНР в России,"Правительство РФ отменило постановление, согласно которому срок пребывания в России для украинцев, проживающих в Донецкой и Луганской народных республиках, составляет 180 дней вместо 90. Новое постановление опубликовано на официальном интернет-портале правовой информации.",https://www.kommersant.ru/doc/5887539,2023-03-20 22:55,Общество
Россия поднимала в воздух истребитель из-за двух стратегических бомбардировщиков США у границы,"В Министерстве обороны России сообщили, что средства противовоздушной обороны 20 марта обнаружили над Балтийским морем две цели, которые были квалифицированы как стратегические бомбардировщики ВВС США В-52Н. В сообщении говорится, что для идентификации и недопущения нарушения границы в воздух был поднят истребитель Су-35, экипаж которого занял установленную зону дежурства в воздухе.",https://www.kommersant.ru/doc/5887537,2023-03-20 22:35,Политика
НМГ вышла из совместного бизнеса с Viasat,"«Национальная медиа группа» вышла из капитала ООО «Синерджи». Согласно данным ЕГРЮЛ, теперь 80% «Синерджи» принадлежит ООО «Гранат», еще 20% — ООО «Сабиеро холдингс лимитед» (Sabiero Holdings Limited).",https://www.kommersant.ru/doc/5887493,2023-03-20 22:20,Телекоммуникации
Губернатор Беглов призвал петербуржцев не уклоняться от явки в военкоматы по повесткам,"Военкоматы Санкт-Петербурга начали работу по уточнению данных проживающих в городе военнообязанных, при получении повестки горожанам следует уведомить работодателя и не игнорировать требования о явке, сообщил в понедельник, 20 марта, губернатор Александр Беглов. «Сегодня очень важно правильно и точно оценивать ресурсы, которыми располагает наш город.",https://www.kommersant.ru/doc/5887510,2023-03-20 21:58,Общество
Постпред Небензя назвал безопасность условием для возврата вывезенных с Украины детей,"Россия готова вернуть вывезенных с Украины детей, когда там будут безопасные условия, заявил на пресс-конференции постпред РФ при ООН Василий Небензя. Этих детей перемещали в Россию, чтобы «уберечь их от опасности, которую могут представлять боевые действия», заявил он.",https://www.kommersant.ru/doc/5887517,2023-03-20 21:43,Мир
Правительство Франции избежало вотума недоверия,"Голосование в Национальной ассамблее завершилось в пользу правительства Элизабет Борн. Предложение о межпартийном вотуме недоверия, поданное группой LIOT (Libertes, Independants, Outre-mer et Territoires — свободы, независимые, заморские территории и территории), не набрало необходимых 287 голосов.",https://www.kommersant.ru/doc/5887522,2023-03-20 21:43,Мир
ЦБ определил порядок возвращения ценных бумаг из-за рубежа,"Центробанк установил порядок для депозитариев по возврату российских ценных бумаг, которые учитываются на их клиентских счетах за рубежом. Как сообщил регулятор, это позволит исключить иностранные организации из цепочки учета российских бумаг, а также защитить права инвесторов.",https://www.kommersant.ru/doc/5887507,2023-03-20 21:10,Бизнес
"Неформальная встреча Путина и Си в Кремле продлилась 4,5 часа",В Кремле завершилась неформальная встреча президента России Владимира Путин и лидера Китая Си Цзиньпина. Встреча длилась четыре с половиной часа.,https://www.kommersant.ru/doc/5887511,2023-03-20 21:05,Политика
"В Ростове-на-Дону отменили концерты «Машины времени», «Мумий Тролля» и ДДТ","Запланированные с 2020 года в Ростове-на-Дону концерты групп «Машина времени», «Мумий Тролль» и ДДТ отменены, узнал «Ъ» от представителя площадки Rostov Roof Live. «Перечисленные концерты отменены, скоро мы выйдем с официальным объявлением»,— сообщил собеседник.",https://www.kommersant.ru/doc/5887486,2023-03-20 20:29,Культура
Генерал-майор Росгвардии Вадим Драгомирецкий написал явку с повинной по делу о крупных взятках,"Депутат Госдумы Александр Хинштейн сообщил, что в отношении заместителя командующего Центральным округом Росгвардии по тылу—начальник тыла Вадима Драгомирецкого возбуждено уголовное дело. Он подозревается в получении крупных взяток (ч.",https://www.kommersant.ru/doc/5887474,2023-03-20 19:59,Происшествия
РБК: директор Пушкинского музея Марина Лошак написала заявление на увольнение,"Директор Государственного музея изобразительных искусств имени Пушкина Марина Лошак, контракт которой истекает 2 апреля, сегодня, 20 марта, написала заявление на увольнение по собственному желанию. Об этом РБК сообщил источник в отрасли, подтвердил сотрудник одной из крупных галерей и написали несколько Telegram-каналов.",https://www.kommersant.ru/doc/5887471,2023-03-20 19:56,Культура
Frank Media: Renault продаст АвтоВАЗу лизинговую «дочку»,"Французский RCI Banque — «дочка» Renault — 11 октября 2022 года договорился о продаже своей лизинговой компании в России «РНЛ Лизинг», следует из отчетности кредитной организации (.pdf). Два знакомых с лизинговым рынком источника Frank Media сообщили, что покупателем станет АвтоВАЗ.",https://www.kommersant.ru/doc/5887461,2023-03-20 19:35,Бизнес
Гендиректором Starbucks стал Лакшман Нарасимхан,"Сегодня, 20 марта, сеть кофеен Starbucks объявила, что с нынешнего дня обязанности ее генерального директора исполняет Лакшман Нарасимхан. Он сменил на этом посту основателя компании Говарда Шульца.",https://www.kommersant.ru/doc/5887449,2023-03-20 19:26,Бизнес
Суд на Ставрополье дал пять лет мобилизованному за самовольное оставление части,Буденновский гарнизонный военный суд признал виновным «в самовольном оставлении места службы продолжительностью свыше одного месяца» (ч. 5 ст.,https://www.kommersant.ru/doc/5887410,2023-03-20 19:11,Происшествия
Страны ЕС согласились поставить Украине 1 млн артиллерийских снарядов,"Страны Евросоюза (ЕС) приняли решение поставить на Украину 1 млн артиллерийских боеприпасов в течение следующих 12 месяцев, сообщил в Twitter глава европейской внешнеполитической службы Жозеп Боррель. «У нас есть план из трех пунктов.",https://www.kommersant.ru/doc/5887447,2023-03-20 19:07,Мир
Amazon сократит еще 9 тыс. сотрудников,"Сегодня, 20 марта, генеральный директор корпорации Amazon Энди Джесси объявил о сокращении еще 9 тыс. сотрудников. В начале года Amazon объявила о сокращении 18 тыс. работников, таким образом, теперь общее число сокращенных достигло 27 тыс.",https://www.kommersant.ru/doc/5887438,2023-03-20 19:02,Телекоммуникации
"Союз автостраховщиков сообщил о подорожании запчастей на 19,5% за год","За прошедший год (данные — март к марту) средняя стоимость запчастей увеличилась на 19,5%. Обновленная информация доступна в новых справочниках Российского союза автостраховщиков (РСА), сообщила пресс-служба ассоциации со ссылкой на главу Евгения Уфимцева.",https://www.kommersant.ru/doc/5887425,2023-03-20 18:38,Авто
Министр обороны Германии объявил об отправке Украине БМП Marder,"Поставка немецких боевых машин пехоты (БМП) Marder Киеву началась, заявил министр обороны Германии Борис Писториус в кулуарах встречи министров иностранных дел и обороны ЕС в Брюсселе. Партия уже находится на пути на Украину, количество поставляемых БМП господин Писториус не указал, сообщает CNN.",https://www.kommersant.ru/doc/5887420,2023-03-20 18:36,Мир
Пригожин попросил Шойгу не допустить отсечения ЧВК «Вагнер» от основных сил в Бахмуте,Основатель частной военной компании «Вагнер» Евгений Пригожин написал письмо министру обороны России Сергею Шойгу в связи с обстановкой в Бахмуте. Он попросил главу военного ведомства предпринять все меры для предотвращения отсечения ЧВК «Вагнер» от основных сил ВС РФ.,https://www.kommersant.ru/doc/5887422,2023-03-20 18:34,Политика
Казахстан впервые отправил из Актау в Баку нефть с Кашагана через Каспийское море,Нефть с казахстанского месторождения Кашаган впервые транспортирована из портового города Актау на западе Казахстана в столицу Азербайджана Баку через Каспийское море. Об этом сообщило Азербайджанское каспийское морское пароходство (ASCO).,https://www.kommersant.ru/doc/5887396,2023-03-20 18:23,Бизнес
ООН сообщила о 8317 погибших мирных жителях на Украине с начала конфликта,"Управление верховного комиссара ООН по правам человека обновило статистику о жертвах среди мирного населения Украины. По данным на 19 марта на Украине погибли 8317 мирных жителей, 13 892 получили ранения.",https://www.kommersant.ru/doc/5887400,2023-03-20 18:22,Мир
США выделили Украине новый пакет военной помощи на $350 млн,"Госсекретарь США Энтони Блинкен сообщил, что страна выделила Украине новый пакет военной помощи на сумму $350 млн. По его словам, в списке поставок снаряды для HIMARS, гаубицы, противотанковое вооружение, ракеты HARM.",https://www.kommersant.ru/doc/5887408,2023-03-20 18:16,Мир
"Прокуратура Нидерландов потребовала 3,5 года тюрьмы для легионера «Урала» Рая Влута","Прокуратура Нидерландов запросила три с половиной года лишения свободы для футболиста «Урала» Рая Влута, пишет AD. Спортсмен проходит обвиняемым по делу о смертельном ДТП.",https://www.kommersant.ru/doc/5887397,2023-03-20 18:13,Спорт
Суд заочно арестовал сбежавшую из России студентку Кривцову,"Приморский районный суд Архангельской области заочно арестовал покинувшую РФ студентку Северного (Арктического) федерального университета (САФУ) Олесю Кривцову (внесена в список экстремистов и террористов), обвиняемую в дискредитации вооруженных сил РФ и оправдании терроризма. Об этом «Ъ» сообщили в пресс-службе Архангельского областного суда.",https://www.kommersant.ru/doc/5887392,2023-03-20 18:00,Происшествия
Задержан глава белгородского филиала «Газпрома» и бывший мэр Старого Оскола,"Задержан генеральный директор АО «Газпром газораспределение Белгород» Александр Сергиенко, который в 2018–2021 годах возглавлял второй по величине город в Белгородской области — Старый Оскол. Источники «Ъ» в правоохранительных органах сообщили, что оперативники белгородского управления ФСБ и Следственного комитета задержали 51-летнего топ-менеджера по делу о взятке.",https://www.kommersant.ru/doc/5887379,2023-03-20 17:27,Происшествия
В Москве на Садовом кольце и ТТК образовались крупные пробки,"В центральной части Москвы затруднено движение, сообщается в Telegram-канале Дептранса. Сложности возникли на Садовом и Третьем транспортном кольце.",https://www.kommersant.ru/doc/5887381,2023-03-20 17:24,Авто
В подмосковном Щелково в опору ЛЭП врезался беспилотник,"В подмосковном Щелково у опоры ЛЭП был обнаружен беспилотник. Как сообщили в местной администрации, взрывчатых веществ в нем не было, пострадавших в результате инцидента нет.",https://www.kommersant.ru/doc/5887382,2023-03-20 17:21,Происшествия
Россия списала долги африканским странам на $20 млрд,"Президент РФ Владимир Путин сообщил, что страна списала задолженности африканским странам на сумму свыше $20 млрд. Товарооборот со странами Африки по итогам 2022 года достиг почти $18 млрд, заявил господин Путин на проводимой в Москве Международной парламентской конференции «Россия—Африка».",https://www.kommersant.ru/doc/5887336,2023-03-20 17:14,Мир
Министры иностранных дел стран ЕС подписали план по боеприпасам для Украины,"Министры иностранных дел Евросоюза (ЕС) согласовали план по своим запасам боеприпасов, а также закупке артиллерийских снарядов для Украины объемом €2 млрд. Об этом сообщает AFP со ссылкой на дипломатов.",https://www.kommersant.ru/doc/5887372,2023-03-20 17:12,Мир
"Чистая прибыль «Роснефти» в 2022 году упала на 7,9%","Чистая прибыль «Роснефти» в 2022 году упала на 7,9%, до 813 млрд руб. Падение обусловлено передачей активов во внешнее управление в Германии и волатильностью курса рубля.",https://www.kommersant.ru/doc/5887378,2023-03-20 17:06,Бизнес
Си на встрече в Кремле выразил уверенность в переизбрании Путина в 2024 году,"Председатель КНР Си Цзиньпин в приветственной речи на неформальной встрече с президентом Владимиром Путиным в Кремле выразил уверенность, что «российский народ вас поддержит» на выборах главы государства в 2024 году. «Я знаю, что в будущем году в вашей стране произойдут очередные президентские выборы.",https://www.kommersant.ru/doc/5887373,2023-03-20 17:01,Политика
В Белом доме предложили Си переговорить с Зеленским после визита в Москву,"Российско-китайские отношения — это «брак по расчету, а не по привязанности», заявил координатор по стратегическим коммуникациям в Совете национальной безопасности Белого дома Джон Кирби. Заявление прозвучало на фоне визита председателя КНР Си Цзиньпина в Москву, который прибыл с трехдневным визитом.",https://www.kommersant.ru/doc/5887353,2023-03-20 16:56,Мир
Курский губернатор сообщил о попытке ВСУ обстрелять вышки связи,Губернатор Курской области Роман Старовойт в своем Telegram-канале сообщил об обстреле вооруженными силами Украины (ВСУ) приграничного Суджанского района. Под обстрел попали окрестности сел Гуево и Горналь.,https://www.kommersant.ru/doc/5887360,2023-03-20 16:52,Происшествия
В Кремле началась неформальная встреча Путина и Си,"В Кремле началась неформальная встреча президента России Владимира Путина и председателя КНР Си Цзиньпина. Общение лидеров идет в формате «тет-а-тет» в представительском кабинете в первом корпусе Кремля, сообщает «РИА Новости».",https://www.kommersant.ru/doc/5887361,2023-03-20 16:39,Политика
Глава МИД Украины призвал ЕС увеличить военную поддержку Киева для наступления,"Министр иностранных дел Украины Дмитрий Кулеба в ходе совещания глав МИДов стран--членов ЕС призвал нарастить объемы военной поддержки Киева. По его словам, это необходимо для успешного проведения украинскими вооруженными силами готовящейся контрнаступательной операции.",https://www.kommersant.ru/doc/5887323,2023-03-20 16:32,Мир
Тело основателя группы Cream Soda Дмитрия Свиргунова нашли водолазы,"Основатель и один из лидеров музыкальной группы Cream Soda Дмитрий Свиргунов погиб, его тело обнаружили водолазы, работающие на месте ЧП на Волге в Ярославской области, рассказал «Ъ» источник в правоохранительных органах. «Ъ» сообщал, что в ночь на 20 марта под лед у села Диево-Городище провалились пять человек, троих затянуло под лед, одного достали спасатели, но он скончался в машине скорой помощи.",https://www.kommersant.ru/doc/5887352,2023-03-20 16:29,Происшествия
ЦБ обязал банки с октября использовать только российские сервисы по внутренним переводам,"Совет директоров Банка России 17 марта утвердил решение, согласно которому с 1 октября 2023 года при обработке внутренних переводов по стране банки обязаны использовать только отечественные сервисы и инфраструктуру. Об этом 20 марта сообщила пресс-служба ЦБ.",https://www.kommersant.ru/doc/5887355,2023-03-20 16:26,Бизнес
Правящая партия Казахстана «Аманат» набрала более 53% голосов на выборах в парламент,"ЦИК Казахстана объявил предварительные итоги парламентских выборов. Согласно представленным данным, в парламент проходят шесть из семи партий, у правящей «Аманат» — 53,9%.",https://www.kommersant.ru/doc/5887351,2023-03-20 16:19,Мир
Генпрокуратура признала нежелательным британский «Институт государственного управления»,"Генпрокуратура по результатам проверки признала нежелательной деятельности британского «Института государственного управления» на территории России. В ведомстве сообщили, что работа института представляет угрозу «основам конституционного строя, территориальной целостности и безопасности государства».",https://www.kommersant.ru/doc/5887348,2023-03-20 16:12,Общество
ТАСС: бывший прокурор Подмосковья Борис Наместников совершил самоубийство,"Тело бывшего прокурора Подмосковья Бориса Наместникова обнаружили в его квартире в центре Москвы. ТАСС в правоохранительных органах сообщили, что он совершил самоубийство.",https://www.kommersant.ru/doc/5887346,2023-03-20 16:11,Происшествия
Путин пообещал странам Африки бесплатное зерно в случае отказа от зерновой сделки,"Президент России Владимир Путин заявил, что если Москва не станет продлевать зерновую сделку через 60 дней (18 мая), то поставит свое зерно в страны Африки бесплатно. Он подчеркнул, что вопрос о дальнейшем участии в соглашении будет зависеть от комплексного исполнения условий соглашения.",https://www.kommersant.ru/doc/5887327,2023-03-20 16:05,Мир
Товары из российской промзоны в Египте разрешили продавать внутри страны,"Компании—резиденты Российской промышленной зоны в Египте смогут продавать свои на территории арабской республики, а не только в третьих странах, как предполагалось изначально. О подписании соответствующего соглашения рассказал вице-премьер, глава Минпромторга Денис Мантуров.",https://www.kommersant.ru/doc/5887331,2023-03-20 15:55,Экономика
В Новосибирске мундепу Мамонтову запросили исполнительные работы по делу о ДТП с участием ребенка,Государственный обвинитель просит суд приговорить к десяти месяцам исправительных работ с удержанием в доход государства 15% заработка бывшего депутата Татарского района Новосибирской области Сергея Мамонтова. В октябре прошлого года депутат сбил шестилетнего ребенка и скрылся с места ДТП.,https://www.kommersant.ru/doc/5887274,2023-03-20 15:51,Происшествия
"МИД Германии считает, что Россия пытается расширить влияние на Грузию и Молдавию",Глава Министерства иностранных дел Германии Анналена Бербок отметила участившиеся попытки Москвы повлиять на политику Молдавии и Грузии. Соответствующий тезис госпожа Бербок обнародовала в интервью газете El Pais.,https://www.kommersant.ru/doc/5887319,2023-03-20 15:46,Мир
ИИ за 30 дней разработал потенциально эффективное лекарство от рака печени,"Ученые Университета Торонто и биотехнологической компании Insilico Medicine использовали искусственный интеллект (ИИ) для создания препарата, потенциально способного справиться с одной из форм рака печени — гепатоцеллюлярной карциномой. Процесс разработки лечения занял у ИИ всего 30 дней.",https://www.kommersant.ru/doc/5887307,2023-03-20 15:46,Hi-Tech
Губернатор Кондратьев заверил ЧВК «Вагнер» в отсутствии препятствий для захоронений бойцов в Горячем Ключе,"Представитель ЧВК «Вагнер» встретился с губернатором Краснодарского края Вениамином Кондратьевым и получил заверения в том, что никаких препятствий для захоронений бойцов ЧВК «Вагнер» не будет, сообщает Telegram-канал «Пресс-служба Пригожина». Оперативной штаб Краснодарского края сообщил, что господин Кондратьев поручил главе Горячего Ключа Сергею Белопольскому оказать содействие ЧВК «Вагнер» в захоронении бойцов.",https://www.kommersant.ru/doc/5887298,2023-03-20 15:45,Общество
"Пушилин сообщил, что численность населения Мариуполя составляет 280 тысяч человек","Врио главы Донецкой народной республики (ДНР) Денис Пушилин сообщил, что население Мариуполя в настоящее время составляет 280 тыс. человек. По его словам, покинувшие город местные жители сейчас активно возвращаются в свои дома.",https://www.kommersant.ru/doc/5887318,2023-03-20 15:36,Общество
"Основатель группы Cream Soda Дмитрий Свиргунов провалился под лед на Волге, его ищут спасатели","Основатель и один из лидеров популярной группы Cream Soda Дмитрий Свиргунов (Дима Нова) пропал без вести, провалившись под лед на Волге в ночь на 20 марта. О трагедии рассказали на официальной странице группы во «ВКонтакте».",https://www.kommersant.ru/doc/5887306,2023-03-20 15:30,Происшествия
Товарооборот РФ и Грузии увеличился на 48% за первые два месяца 2023 года,Торговый оборот между Россией и Грузией за январь и февраль текущего года увеличился по сравнению с аналогичным периодом прошлого года на 48%. Об этом «Ъ» сообщил начальник департамента статистики внешней торговли и иностранных инвестиций Национальной службы статистики (НСС) при Кабинете министров Грузии Бадри Квачадзе.,https://www.kommersant.ru/doc/5887277,2023-03-20 15:25,Мир
Количество компаний с российским участием в Турции выросло на 670% за 2022 год,"В 2022 году в Турции были зарегистрированы 1363 компании с российскими партнерами, говорится в докладе Фонда исследований экономической политики Турции. В 2021 году таких компаний появилось всего 177.",https://www.kommersant.ru/doc/5887273,2023-03-20 15:22,Бизнес
"МИД РФ: Турция, Украина и ООН не возражали против продления зерновой сделки только на 60 дней","Представители Турции, Украины, а также ООН не возражали против пролонгации зерновой сделки на 60 дней вместо 120, указали в российском Министерстве иностранных дел (сообщение опубликовано на официальном сайте ведомства). Дальнейшее продление соглашения зависит от выполнения сторонами ряда условий.",https://www.kommersant.ru/doc/5887299,2023-03-20 15:11,Мир
"Глава МВД сообщил о 5 тыс. правонарушений, связанных с фейками про армию","МВД по итогам 2022 года выявило 5 тыс. правонарушений и 41 преступление, связанные с распространением фейков про армию (ст. 207.3 УК РФ).",https://www.kommersant.ru/doc/5887275,2023-03-20 15:09,Происшествия
МВД: более 800 тыс. жителей присоединенных регионов обратились за паспортом РФ,"Более 800 тыс. человек, живущих в присоединенных к России четырех регионах, обратились в миграционные подразделения за получением российских паспортов. Об этом заявил глава МВД России Владимир Колокольцев на заседании коллегии ведомства с участием Владимира Путина.",https://www.kommersant.ru/doc/5887291,2023-03-20 15:03,Общество
Путин призвал МВД пресекать несанкционированные митинги и попытки «раскачать общество»,"Президент России Владимир Путин потребовал от сотрудников Министерства внутренних дел (МВД) оперативно пресекать незаконные уличные акции и распространение экстремистской идеологии, направленной на то, чтобы «раскачать» российское общество. «Провокации, незаконные уличные акции или иные попытки противника и его агентуры раскачать общество должны пресекаться.",https://www.kommersant.ru/doc/5887290,2023-03-20 15:01,Общество
МВД: срок действия истекающих в этом году водительских прав продлен на 3 года,"МВД продлило на три года срок действия водительских прав, истекающих в 2022 или 2023 году. Об этом сообщил глава ведомства Владимир Колокольцев на коллегии МВД с участием Владимира Путина.",https://www.kommersant.ru/doc/5887288,2023-03-20 15:00,Общество
"Приморского депутата, обвиняемого в растлении ребенка, будут судить повторно","Советский районный суд Владивостока назначил на 29 марта начало рассмотрения по существу уголовного дела в отношении депутата законодательного собрания Приморья, бывшего первого секретаря Владивостокского горкома КПРФ Артема Самсонова. В удовлетворении ходатайства о возвращении дела прокурору защите отказано.",https://www.kommersant.ru/doc/5887212,2023-03-20 15:00,Происшествия
"Число депортированных из России мигрантов увеличилось в 2,5 раза за 2022 год","В 2022 году число депортированных из России мигрантов выросло более чем в 2,5 раза, сообщил глава МВД Владимир Колокольцев на расширенной коллегии МВД с участием Владимира Путина. Точное число депортированных министр не назвал.",https://www.kommersant.ru/doc/5887284,2023-03-20 14:47,Общество
СКР возбудил дело против прокурора и судей Международного уголовного суда,"Следственный комитет России (СКР) сообщил, что возбудил уголовное дело в отношении прокурора Международного уголовного суда (МУС) Карима Ахмад Хана (Великобритания), а также судей Томоко Аканэ (Япония), Розарио Сальваторе Айталы (Италия) и Серхио Херардо Угальде Годинеса (Коста-Рика). Ранее они выписали ордер на арест президента России Владимира Путина и уполномоченной по правам ребенка Марии Львовой-Беловой.",https://www.kommersant.ru/doc/5887283,2023-03-20 14:34,Происшествия
МИД Армении: Баку нарушает почти все договоренности о прекращении огня в Нагорном Карабахе,"Министр иностранных дел Армении Арарат Мирзоян заявил, что Азербайджан нарушает большинство положений трехстороннего заявления глав Армении, Азербайджана и РФ о прекращении огня в Нагорном Карабахе. Соответствующую реплику глава армянского МИДа произнес на встрече с российским коллегой Сергеем Лавровым в Москве.",https://www.kommersant.ru/doc/5887267,2023-03-20 14:31,Мир
Индонезия выслала 13 россиян за нарушение визового режима на Бали,"Власти Индонезии депортировали 47 иностранцев, находившихся на острове Бали, за нарушение правила, в соответствии с которым обладателям туристических виз запрещено работать на острове. Об этом сообщает агентство Bloomberg со ссылкой на местное отделение Министерства юстиции и прав человека.",https://www.kommersant.ru/doc/5887268,2023-03-20 14:29,Мир
