Заголовок,Контент,Ссылка,Дата публикации,Категория
Песков: у Путина есть вся информация о закрытии неба над Петербургом,"Пресс-секретарь президента России Дмитрий Песков переадресовал вопрос о причинах закрытия воздушного пространства над Санкт-Петербургом «тем, кто за это отвечает». При этом господин Песков отметил, что Владимиру Путину представлена вся необходимая информация о произошедшем.",https://www.kommersant.ru/doc/5843544,2023-02-28 13:09,Политика
Песков назвал «ЧВК Рёдан» субкультурой «со знаком минус»,"В Кремле обратили внимание на новую подростковую субкультуру «ЧВК Рёдан», заявил пресс-секретарь президента Дмитрий Песков. По его словам, на это «нужно реагировать» и «важно пресекать противоправные действия».",https://www.kommersant.ru/doc/5843534,2023-02-28 13:06,Общество
Минобороны объяснило закрытие неба над Петербургом тренировкой сил ПВО,"Минобороны России сообщило, что небо над Санкт-Петербургом закрывалось для тренировки сил противовоздушной обороны Западного военного округа. Истребители дежурных сил ПВО были задействованы в тренировке перехвата и идентификации условной цели нарушителя, пояснили в ведомстве.",https://www.kommersant.ru/doc/5843533,2023-02-28 13:00,Политика
Лавров: Россия готова организовать переговоры Армении и Азербайджана,"Россия готова помочь с организацией переговоров Армении и Азербайджана по мирному договору, но не будет «слишком настойчиво предлагать свои услуги», заявил глава МИД РФ Сергей Лавров. По его словам, азербайджанская сторона выразила готовность, а армянская сторона «не возражает, но пока окончательного согласия не дает».",https://www.kommersant.ru/doc/5843514,2023-02-28 12:59,Мир
Кремль исходит из невозможности Украины де-юре вести переговоры с Россией,"Россия пока не видит со стороны Украины каких-либо сигналов о переговорах, заявил пресс-секретарь президента РФ Дмитрий Песков. По его словам, Москва исходит из невозможности Киева де-юре вести с ней переговоры.",https://www.kommersant.ru/doc/5843528,2023-02-28 12:57,Мир
МЭА: Китай представляет самую большую угрозу для Европы на газовом рынке,"Цены на электроэнергию в Европе могут вернуться в нынешнем году к рекордно высокому уровню, говорится в свежем докладе Международного энергетического агентства (МЭА). Такой прогноз эксперты дают исходя из ожидаемого восстановления экономики Китая.",https://www.kommersant.ru/doc/5843503,2023-02-28 12:50,Экономика
Искусственный подсластитель эритритол оказался опасным для жизни и здоровья,"Широко распространенный в мире искусственный подсластитель эритрит (эритритол, эритрол) может вызывать образование тромбов, приводить к инсульту, инфаркту и смерти человека. Такой вывод сделали ученые Центра кардиоваскулярной диагностики и профилактики Института клинических исследований Лернера в Кливленде (штат Огайо, США).",https://www.kommersant.ru/doc/5843500,2023-02-28 12:49,Бизнес
В Белоруссии проходят учения для руководителей органов территориальной обороны,"Областные исполнительные комитеты Белоруссии с 28 февраля по 3 марта проведут занятия среди органов управления территориальной обороны. Белорусским военнообязанным расскажут про порядок действий в ходе формирования территориальных войск, сообщила пресс-служба Минобороны республики.",https://www.kommersant.ru/doc/5843501,2023-02-28 12:43,Мир
Суд в Москве оштрафовал владельца «Википедии» на 2 млн рублей,Мировой судья судебного участка №422 Таганского района Москвы Тимур Вахрамеев оштрафовал на 2 млн руб. фонд Wikimedia Foundation (ему принадлежит «Википедия») за отказ удалить материалы о воинских частях ВС РФ. Фонд признан виновным по ч.,https://www.kommersant.ru/doc/5843509,2023-02-28 12:34,Телекоммуникации
ФАС ограничит нового владельца курорта «Архыз» в повышении цен,"Покупка компанией «Горные вершины» курорта «Архыз» будет возможна при выполнении ряда обязательных условий, сообщает Федеральная антимонопольная служба РФ (ФАС) в своем Telegram-канале. Антимонопольная служба намерена исключить установление новым владельцем «Архыза» монопольно высоких цен на услуги по подъему пассажиров фуникулерами, подвесными канатными дорогами и лыжными подъемниками.",https://www.kommersant.ru/doc/5843485,2023-02-28 12:30,Бизнес
При стрельбе возле начальной школы в Германии пострадали два человека,"В городе Брамше в германской земле Нижняя Саксония произошла стрельба возле начальной школы. Два человека получили огнестрельные ранения, пишет Bild.",https://www.kommersant.ru/doc/5843499,2023-02-28 12:29,Мир
Роскомнадзор направил в Росмолодежь связанные с «ЧВК Рёдан» материалы,"Роскомнадзор отправил на экспертизу в Росмолодежь материалы, связанные с «ЧВК Рёдан». Если Росмолодежь признает запрещенной размещенную в интернете информацию о вовлечении несовершеннолетних в противоправные действия, тогда к ней будет ограничен доступ, пояснили «Интерфаксу» в пресс-службе Роскомнадзора.",https://www.kommersant.ru/doc/5843490,2023-02-28 12:24,Общество
